순번,구,가맹점,주소,동
13777,동구,시라비타커피,"대전광역시 동구 계족로450번길 13, 101호 (용전동)",용전동
8938,중구,시라비타커피,"대전광역시 중구 계룡로874번길 97, 1층 (오류동)",오류동
141,서구,시라스시,"대전광역시 서구 둔산중로 54, 101~102호 (둔산동)",둔산동
1003,서구,시루애,"대전광역시 서구 관저동로90번길 16,(관저동,리슈빌타워)",관저동
24558,대덕구,시루향,"대전광역시 대덕구 선비마을로23번길 73, 1층 (송촌동)",송촌동
16723,서구,시루향기,"대전광역시 서구 관저북로13번길 24-19,101~102호(관저동)",관저동
1430,유성구,시루향기,"대전광역시 유성구 대학로75번길 2, 1층 (궁동)",궁동
25222,동구,시루향기 가양점,대전광역시 동구 우암로 243 (가양동),가양동
18205,유성구,시루향기(신성동),"대전광역시 유성구 가정로 91,1층(신성동)",신성동
22144,중구,시루향기산성점,"대전광역시 중구 대둔산로 364,1층(산성동)",산성동
21051,유성구,시매노 수학학원,"대전광역시 유성구 노은로 158, 4층 404호 (지족동,그랜드타운)",지족동
9178,서구,시매쓰,"대전광역시 서구 둔산로 144, 5층 502호 (둔산동)",둔산동
9198,중구,시매쓰태평학원,"대전광역시 중구 태평로 29, 4층401호,402호 (태평동)",태평동
23214,서구,시미용실,"대전광역시 서구 탄방로 108-7, 1층 101호 (용문동)",용문동
23770,동구,시민마트,대전광역시 동구 태전로 35 (정동),정동
12307,서구,시민사진관,"대전광역시 서구 계백로 1471,(도마동)",도마동
23126,중구,시민상회,대전광역시 중구 보문로20번길 63 (문창동),문창동
31982,중구,시민칼국수,대전광역시 중구 대흥로28번길 14 (대흥동),대흥동
9712,중구,시민한의원,"대전광역시 중구 보문산로 321-26, 1층 (문화동)",문화동
4420,중구,시민할인마트,"대전광역시 중구 대흥로 26, 1층 (대사동)",대사동
21736,서구,시봉쌀롱,"대전광역시 서구 복수동로 60-1, 1층 102호 (복수동)",복수동
14041,유성구,시부야,"대전광역시 유성구 관들2길 35, 1층 (관평동)",관평동
33473,서구,시사리딩클럽영어교습소,"대전광역시 서구 문정로 96, 707호 (탄방동,타워렉스)",탄방동
2050,중구,시사어학원,"대전광역시 중구 중앙로 149, 501호 (은행동,한솔그린타워)",은행동
38867,유성구,시선(Seasun),"대전광역시 유성구 원신흥로40번길 13, 1층 (원신흥동)",원신흥동
39046,중구,시선58,"대전광역시 중구 유천로34번길 69, (유천동)",유천동
