,index,순번,구,가맹점,주소,동,경도,위도
4907,34179,11822,동구,평화  건강원,대전광역시 동구 새울로 92 ,용운동,127.461784366238,36.3265085702781
4908,34182,26371,동구,평화닭집,대전광역시 동구 비래서로42번길 100 ,가양동,127.4466198129,36.3499859193105
4909,34185,10269,동구,평화본점 이가네 평화정육점,대전광역시 동구 동서대로1572번길 189 ,성남동,127.434754970815,36.3405463519951
4910,34186,34771,동구,평화본점이가네평화정육식당1,대전광역시 동구 동서대로1572번길 189 ,성남동,127.434754970815,36.3405463519951
4911,34187,18308,동구,평화상회,대전광역시 동구 중앙로200번길 99 ,원동,127.433958423963,36.3267298982229
4912,34188,2994,동구,평화상회,대전광역시 동구 중동 82,중동,0,0
4913,34190,24872,동구,평화슈퍼,대전광역시 동구 동서대로1653번길 33 ,용전동,127.433230994316,36.3496453626166
4914,34192,2705,동구,평화유통,대전광역시 동구 대전로791번길 11,중동,127.432546566881,36.3300300776737
4915,34194,10337,동구,평화정육식당,대전광역시 동구 성남동 155-2,성남동,127.434755145507,36.3405377000832
4916,34203,31098,동구,포낙보청기판암,대전광역시 동구 옥천로 183,판암동,127.460254904294,36.317924185452
4917,34209,620,동구,포디씨앙,대전광역시 동구 은어송로77번길 45 ,가오동,127.455877433475,36.3091793479277
4918,34212,36027,동구,포레음악학원,대전광역시 동구 용운로 203,용운동,127.464787200907,36.3273127654815
4919,34235,1601,동구,포스원,대전광역시 동구 대전로 471,가오동,127.450778691464,36.3077197576909
4920,34243,17332,동구,포인트,대전광역시 동구 중동 317 중앙로지하상가 나-34,중동,127.430517139303,36.3304212158619
4921,34245,8329,동구,포인트당구클럽,대전광역시 동구 홍도로 14-5,홍도동,127.430056346229,36.3477988804796
4922,34257,32911,동구,포차1번지먹새통,대전광역시 동구 대전로448번길 52-8,가오동,127.454679875969,36.3069850324216
4923,34265,14906,동구,포차천국 대전가오점,대전광역시 동구 은어송로51번길 25 ,가오동,127.454285890096,36.3067059931719
4924,34266,14866,동구,포차천국 한남대점,대전광역시 동구 한남로 4 ,홍도동,127.427667803773,36.3515223600404
4925,34267,39662,동구,포차천국 한남대점,대전광역시 동구 한남로4,홍도동,127.427667803773,36.3515223600404
4926,34289,39150,동구,폭스홀덤,대전광역시 동구 한남로8,홍도동,127.427300256226,36.3514570782154
4927,34308,14596,동구,폴카닷,대전광역시 동구 대학로50번길 6-3,용운동,127.456366798387,36.3339542519737
4928,34312,34667,동구,퐁쥬클로젯,대전광역시 동구 우암로147번길 19-3,삼성동,127.433299069165,36.3406189572311
4929,34314,16362,동구,표여사  손수제비,대전광역시 동구 동부로 75 ,판암동,127.460790063745,36.3223851112956
4930,34323,31551,동구,푸드서플라이,대전광역시 동구 백룡로6번길 149,대동,127.444220087155,36.3300966642974
4931,34324,11134,동구,푸드스토리,대전광역시 동구 중앙로203번길 86,정동,127.429033329337,36.334125068008
4932,34337,7267,동구,푸드히어로,대전광역시 동구 합내로 6,가양동,127.440968853611,36.343476102189
4933,34340,34069,동구,푸라닭 대전가오점,대전광역시 동구 대전로448번길 86-13,가오동,127.456441733661,36.307881299879
4934,34353,32362,동구,푸라닭대전한남대점,대전광역시 동구 홍도로 57,홍도동,127.428016300332,36.3511600121586
4935,34357,13735,동구,푸르네미술학원,대전광역시 동구 용운로 114-1,용운동,127.455326030995,36.3277468706761
4936,34358,13976,동구,푸르네학원,대전광역시 동구 용운로 114-1,용운동,127.455326030995,36.3277468706761
4937,34382,6594,동구,푸른목원피아노학원,대전광역시 동구 우암로 186,성남동,127.437946044522,36.3415398706865
4938,34387,19170,동구,푸른바다 실내낚시 횟집,대전광역시 동구 대전로 930,삼성동,127.426111392532,36.3409981519208
4939,34388,28620,동구,푸른샘치과의원,대전광역시 동구 충정로 141,자양동,127.448845304121,36.3423772657702
4940,34398,13410,동구,푸른약국,대전광역시 동구 동서대로1668번길 33,성남동,127.4352341295,36.3469051849829
4941,34407,9372,동구,푸른태평양약국,대전광역시 동구 충정로 137 ,자양동,127.449229566487,36.3427582800803
4942,34412,32588,동구,푸줏간정육점,대전광역시 동구 백룡로57번길 146 ,자양동,127.450206743808,36.3396112179375
4943,34419,10310,동구,풀리는 수학교습소,대전광역시 동구 계족로489번길 43,용전동,127.430188431962,36.3555479530588
4944,34425,21624,동구,풀오피스,대전광역시 동구 소제동 291-16 외철도기관 공동사옥지하1층내,소제동,127.436968678421,36.3323225348225
4945,34427,14556,동구,풀잎문화센터동대전지부,대전광역시 동구 홍도로9번길 20,홍도동,127.429176749457,36.346969358172
4946,34438,32492,동구,풋젠,대전광역시 동구 대전로 805,중동,127.432262992982,36.3314185544276
